Released_ID	Title	MovieID	ReleasedYear
1	Toy Story (1995)	1	2000
2	Jumanji (1995)	2	2001
3	Grumpier Old Men (1995)	3	2002
4	Waiting to Exhale (1995)	4	2003
5	Father of the Bride Part II (1995)	5	2004
6	Heat (1995)	6	2005
7	Sabrina (1995)	7	2006
8	Tom and Huck (1995)	8	2007
9	Sudden Death (1995)	9	2008
10	GoldenEye (1995)	10	2009
11	"American President, The (1995)"	11	2010
12	Dracula: Dead and Loving It (1995)	12	2011
13	Balto (1995)	13	2012
14	Nixon (1995)	14	2013
15	Cutthroat Island (1995)	15	2014
16	Casino (1995)	16	2015
17	Sense and Sensibility (1995)	17	2016
18	Four Rooms (1995)	18	2017
19	Ace Ventura: When Nature Calls (1995)	19	2018
20	Money Train (1995)	20	2019
21	Get Shorty (1995)	21	2020
22	Copycat (1995)	22	2021
23	Assassins (1995)	23	2022
24	Powder (1995)	24	2020
25	Leaving Las Vegas (1995)	25	1970
26	Othello (1995)	26	1971
27	Now and Then (1995)	27	1972
28	Persuasion (1995)	28	1973
29	City Of Lost Children	29	1974
30	Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)	30	1975
31	Dangerous Minds (1995)	31	1976
32	Twelve Monkeys (a.k.a. 12 Monkeys) (1995)	32	1977
33	Wings of Courage (1995)	33	1978
34	Babe (1995)	34	1979
35	Carrington (1995)	35	1980
36	Dead Man Walking (1995)	36	1981
37	Across the Sea of Time (1995)	37	1982
38	It Takes Two (1995)	38	1983
39	Clueless (1995)	39	1984
40	"Cry, the Beloved Country (1995)"	40	1985
41	Richard III (1995)	41	1986
42	Dead Presidents (1995)	42	1987
43	Restoration (1995)	43	1988
44	Mortal Kombat (1995)	44	1989
45	To Die For (1995)	45	1990
46	How to Make an American Quilt (1995)	46	1991
47	Seven (a.k.a. Se7en) (1995)	47	1992
48	Pocahontas (1995)	48	1993
49	When Night Is Falling (1995)	49	1994
50	"Usual Suspects, The (1995)"	50	1995
51	Guardian Angel (1994)	51	1996
52	Mighty Aphrodite (1995)	52	1997
53	Lamerica (1994)	53	1998
54	"Big Green, The (1995)"	54	1999
55	Georgia (1995)	55	2000
56	Kids of the Round Table (1995)	56	2001
57	Home for the Holidays (1995)	57	2002
58	"Postman, The (Postino, Il) (1994)"	58	2003
59	"Confessional, The (Confessionnal, Le) (1995)"	59	2004
60	"Indian in the Cupboard, The (1995)"	60	2005
61	Eye for an Eye (1996)	61	2006
