LinkID,ImdbID,TmdbID
1,114709,862
2,113497,8844
3,113228,15602
4,114885,31357
5,113041,11862
6,113277,949
7,114319,11860
8,112302,45325
9,114576,9091
10,113189,710
11,112346,9087
12,112896,12110
13,112453,21032
14,113987,10858
15,112760,1408
16,112641,524
17,114388,4584
18,113101,5
19,112281,9273
20,113845,11517
21,113161,8012
22,112722,1710
23,112401,9691
24,114168,12665
25,113627,451
26,114057,16420
27,114011,9263
28,114117,17015
29,112682,902
30,115012,37557
31,112792,9909
32,114746,63
33,114952,78802
34,112431,9598
35,112637,47018
36,112818,687
37,112286,139405
38,113442,33689
39,112697,9603
40,112749,34615
41,114279,31174
42,112819,11443
43,114272,35196
44,113855,9312
45,114681,577
46,113347,11861
47,114369,807
48,114148,10530
49,114916,8391
50,114814,629
51,109950,117164
52,113819,11448
53,110299,49133
54,112499,26441
55,113158,97406
56,113541,124057
57,113321,9089
58,110877,11010
59,112714,99040
60,113419,11359
61,116260,17182
62,113862,2054
63,116126,10607
64,118002,19760
65,115683,9536
66,116839,11525
67,114753,40628
68,113149,4482
69,113118,10634
70,116367,755
71,113010,11859
72,113537,28387
73,113828,48750
74,115644,20927
75,115676,36929
76,114367,9102
77,113973,124626
78,112744,27526
79,116731,9623
80,112445,46785
81,114660,400
82,112379,880
83,114039,146599
84,113612,188588
85,112365,8447
86,118158,10534
87,116151,17414
88,115697,13997
89,113972,2086
90,113490,61548
91,117002,9095
92,114825,12158
93,115639,9283
94,115759,9208
95,113403,40154
96,113247,406
97,111173,45549
98,113283,63076
99,115907,11062
100,115734,13685
101,117102,47475
102,118040,2045
103,116483,9614
104,112579,688
105,110251,11907
106,117110,10874
107,112646,89333
108,113276,96357
109,112573,197
110,75314,103
111,113326,33542
112,115645,43566
113,113774,71754
114,112556,43612
115,112373,51352
116,115033,16934
117,116606,10324
118,114536,78406
119,117427,55731
120,106473,32119
121,103859,11066
122,109424,11104
123,114808,37975
124,116324,2074
125,110647,27793
126,111055,44284
127,110217,290157
128,114131,110972
129,112364,32622
130,113107,73067
131,113451,11863
132,114015,55475
133,114500,124636
134,116130,9101
135,113125,123360
136,113756,5757
137,113952,39428
138,114618,124639
139,118055,9302
140,115685,11000
141,94878,
142,113200,249882
143,112585,16388
144,112442,9737
145,112342,30765
146,112461,10474
147,112427,22279
148,109093,30157
149,112384,568
150,114287,11780
151,112288,34996
152,112462,414
153,61395,649
154,112495,1873
155,112541,5894
156,109370,1775
157,112642,8839
158,112688,20649
159,112715,10329
160,112740,8963
161,109508,26564
162,112851,8068
163,112857,8512
164,112864,1572
165,112887,13552
166,113044,259209
167,113071,6520
168,113114,9073
169,113243,10428
170,113464,17447
171,113481,9886
172,113492,9482
173,113500,19326
174,113540,9344
175,113677,9071
176,113690,8973
177,107447,15730
178,113729,47608
179,113749,2293
180,113820,9070
181,113851,68274
182,110604,48787
183,110620,34574
184,113957,1642
185,113986,11472
186,114095,36196
187,114194,11980
188,114241,58372
189,114323,32646
190,114345,10533
191,114435,56088
192,114436,10802
193,114478,10149
194,114496,18402
195,114508,9348
196,114534,139408
197,114558,281
198,58450,5967
199,114666,79593
200,114663,47939
201,114702,36834
202,114682,9090
203,114781,3512
204,114798,52856
205,114805,77350
206,114887,9560
207,114898,9804
208,114928,31611
209,114938,65796
210,109340,49805
211,112602,26258
212,111579,50797
213,110882,19155
214,112471,76
215,112508,11017
216,112438,37141
217,112571,9382
218,112757,6715
219,112643,18256
220,112679,22625
221,109445,2292
222,112883,1909
223,109635,8984
224,112899,61813
225,109676,4954
226,112854,62488
227,109579,10531
228,109642,11929
229,109686,8467
230,111797,10451
231,109759,20156
232,109758,18395
233,109707,522
234,113117,397
235,113097,10525
236,113028,27985
237,113198,15789
238,113303,27303
239,113089,21183
240,109771,10954
241,113199,47867
242,113234,43475
243,109906,72031
244,110057,14275
245,110005,1024
246,110066,17207
247,110116,13701
248,110006,14819
249,113360,32631
250,110099,11777
251,110148,628
252,113463,87729
253,110189,18713
254,110216,6280
255,113501,9061
256,113538,37108
257,113552,6071
258,76759,11
259,110367,9587
260,113670,19101
261,110296,49980
262,109731,17961
263,103994,18183
264,110322,4476
265,110443,11008
266,110365,47504
267,107566,32325
268,110391,43742
269,113691,28313
270,110428,11318
271,109836,3036
272,113755,40490
273,110538,24070
274,110516,8986
275,110527,10510
276,113808,17402
277,113896,38722
278,113870,8438
279,110684,11593
280,110638,1945
281,113967,39310
282,117169,109560
283,106402,56428
284,113948,63105
285,110671,131957
286,110632,241
287,110737,9058
288,110729,527
289,114151,18220
290,114069,6950
291,110413,101
292,114113,63020
293,114210,2307
294,110912,680
295,114084,41478
296,105652,25296
297,110889,40156
298,110932,11450
299,114129,30304
300,110963,10452
301,114214,12106
302,114296,161495
303,110907,3586
304,111495,110
305,108394,108
306,111507,109
307,110769,159185
308,114268,36357
309,110965,92769
310,114571,28033
311,111333,22586
312,111112,14334
313,111255,2636
314,111282,2164
315,111070,11395
316,111161,278
317,111149,9905
318,108260,87078
319,106966,12527
320,114594,20306
321,111309,36614
322,113936,27993
323,110081,31439
324,114614,9067
325,114608,9059
326,111280,193
327,114609,25066
328,111454,46797
329,114852,12122
330,114694,11381
331,111590,32636
332,114788,36141
333,114888,95963
334,108550,1587
335,114857,9271
336,114924,2064
337,111667,19855
338,109655,60855
339,110598,236
340,112435,48287
341,109040,3049
342,109045,2759
343,106339,12635
344,104779,10497
345,109348,11382
346,109444,9331
347,109446,10731
348,109484,10464
349,109504,34152
350,109506,9495
351,109450,29973
352,109813,888
353,109830,13
354,109831,712
355,113305,16295
356,110091,48992
357,110093,10879
358,110167,10660
359,110213,10714
360,107472,41647
361,110357,8587
362,107426,1689
363,111686,11596
364,110475,854
365,110478,9359
366,110588,23333
367,110622,36593
368,110771,12280
369,110950,2788
370,105226,10427
371,110989,11011
372,111054,49803
373,110997,8987
374,111257,1637
375,111256,15128
376,111438,8831
377,111503,36955
378,111693,10449
379,111742,10395
380,111756,12160
381,112443,40480
382,110455,52038
383,111048,29444
384,110399,26352
385,112570,39953
386,109454,41580
387,59170,315
388,110186,22067
389,108069,18242
390,111301,11667
391,112702,32502
392,112849,267188
393,113014,28732
394,113043,75555
395,113104,42981
396,113173,278939
397,113319,291731
398,113827,226229
399,114047,203119
400,112889,172923
401,109339,316098
402,110027,8011
403,109785,171857
404,113409,2654
405,109021,18069
406,109035,19092
407,106220,2758
408,111804,38129
409,106226,10436
410,109068,13595
411,109067,46094
412,106292,9409
413,109198,11853
414,109219,16771
415,106379,46924
416,106400,11041
417,109254,306
418,109279,14522
419,109297,26203
420,109303,178
421,109305,19819
422,109306,57834
423,106452,4722
424,106471,18215
425,106489,1607
426,109361,26391
427,106505,117553
428,106519,6075
429,109439,11310
