MovieID,Title,Genres
1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy
2,Jumanji (1995),Adventure|Children|Fantasy
3,Grumpier Old Men (1995),Comedy|Romance
4,Waiting to Exhale (1995),Comedy|Drama|Romance
5,Father of the Bride Part II (1995),Comedy
6,Heat (1995),Action|Crime|Thriller
7,Sabrina (1995),Comedy|Romance
8,Tom and Huck (1995),Adventure|Children
9,Sudden Death (1995),Action
10,GoldenEye (1995),Action|Adventure|Thriller
11,"American President, The (1995)",Comedy|Drama|Romance
12,Dracula: Dead and Loving It (1995),Comedy|Horror
13,Balto (1995),Adventure|Animation|Children
14,Nixon (1995),Drama
15,Cutthroat Island (1995),Action|Adventure|Romance
16,Casino (1995),Crime|Drama
17,Sense and Sensibility (1995),Drama|Romance
18,Four Rooms (1995),Comedy
19,Ace Ventura: When Nature Calls (1995),Comedy
20,Money Train (1995),Action|Comedy|Crime|Drama|Thriller
21,Get Shorty (1995),Comedy|Crime|Thriller
22,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller
23,Assassins (1995),Action|Crime|Thriller
24,Powder (1995),Drama|Sci-Fi
25,Leaving Las Vegas (1995),Drama|Romance
26,Othello (1995),Drama
27,Now and Then (1995),Children|Drama
28,Persuasion (1995),Drama|Romance
29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama
31,Dangerous Minds (1995),Drama
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller
33,Wings of Courage (1995),Adventure|Romance|IMAX
34,Babe (1995),Children|Drama
35,Carrington (1995),Drama|Romance
36,Dead Man Walking (1995),Crime|Drama
37,Across the Sea of Time (1995),Documentary|IMAX
38,It Takes Two (1995),Children|Comedy
39,Clueless (1995),Comedy|Romance
40,"Cry, the Beloved Country (1995)",Drama
41,Richard III (1995),Drama|War
42,Dead Presidents (1995),Action|Crime|Drama
43,Restoration (1995),Drama
44,Mortal Kombat (1995),Action|Adventure|Fantasy
45,To Die For (1995),Comedy|Drama|Thriller
46,How to Make an American Quilt (1995),Drama|Romance
47,Seven (a.k.a. Se7en) (1995),Mystery|Thriller
48,Pocahontas (1995),Animation|Children|Drama|Musical|Romance
49,When Night Is Falling (1995),Drama|Romance
50,"Usual Suspects, The (1995)",Crime|Mystery|Thriller
51,Guardian Angel (1994),Action|Drama|Thriller
52,Mighty Aphrodite (1995),Comedy|Drama|Romance
53,Lamerica (1994),Adventure|Drama
54,"Big Green, The (1995)",Children|Comedy
55,Georgia (1995),Drama
56,Kids of the Round Table (1995),Adventure|Children|Fantasy
57,Home for the Holidays (1995),Drama
58,"Postman, The (Postino, Il) (1994)",Comedy|Drama|Romance
59,"Confessional, The (Confessionnal, Le) (1995)",Drama|Mystery
60,"Indian in the Cupboard, The (1995)",Adventure|Children|Fantasy
61,Eye for an Eye (1996),Drama|Thriller
62,Mr. Holland's Opus (1995),Drama
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy|Crime
64,Two if by Sea (1996),Comedy|Romance
65,Bio-Dome (1996),Comedy
66,Lawnmower Man 2: Beyond Cyberspace (1996),Action|Sci-Fi|Thriller
67,Two Bits (1995),Drama
68,French Twist (Gazon maudit) (1995),Comedy|Romance
69,Friday (1995),Comedy
70,From Dusk Till Dawn (1996),Action|Comedy|Horror|Thriller
71,Fair Game (1995),Action
72,Kicking and Screaming (1995),Comedy|Drama
73,"Misérables, Les (1995)",Drama|War
74,Bed of Roses (1996),Drama|Romance
75,Big Bully (1996),Comedy|Drama
76,Screamers (1995),Action|Sci-Fi|Thriller
77,Nico Icon (1995),Documentary
78,"Crossing Guard, The (1995)",Action|Crime|Drama|Thriller
79,"Juror, The (1996)",Drama|Thriller
80,"White Balloon, The (Badkonake sefid) (1995)",Children|Drama
81,Things to Do in Denver When You're Dead (1995),Crime|Drama|Romance
82,Antonia's Line (Antonia) (1995),Comedy|Drama
83,Once Upon a Time... When We Were Colored (1995),Drama|Romance
84,Last Summer in the Hamptons (1995),Comedy|Drama
85,Angels and Insects (1995),Drama|Romance
86,White Squall (1996),Action|Adventure|Drama
87,Dunston Checks In (1996),Children|Comedy
88,Black Sheep (1996),Comedy
89,Nick of Time (1995),Action|Thriller
90,"Journey of August King, The (1995)",Drama
91,Mary Reilly (1996),Drama|Horror|Thriller
92,Vampire in Brooklyn (1995),Comedy|Horror|Romance
93,Beautiful Girls (1996),Comedy|Drama|Romance
94,Broken Arrow (1996),Action|Adventure|Thriller
95,In the Bleak Midwinter (1995),Comedy|Drama
96,"Hate (Haine, La) (1995)",Crime|Drama
97,Shopping (1994),Action|Thriller
98,Heidi Fleiss: Hollywood Madam (1995),Documentary
99,City Hall (1996),Drama|Thriller
100,Bottle Rocket (1996),Adventure|Comedy|Crime|Romance
101,Mr. Wrong (1996),Comedy
102,Unforgettable (1996),Mystery|Sci-Fi|Thriller
103,Happy Gilmore (1996),Comedy
104,"Bridges of Madison County, The (1995)",Drama|Romance
105,Nobody Loves Me (Keiner liebt mich) (1994),Comedy|Drama
106,Muppet Treasure Island (1996),Adventure|Children|Comedy|Musical
107,Catwalk (1996),Documentary
108,Headless Body in Topless Bar (1995),Comedy|Drama|Thriller
109,Braveheart (1995),Action|Drama|War
110,Taxi Driver (1976),Crime|Drama|Thriller
111,Rumble in the Bronx (Hont faan kui) (1995),Action|Adventure|Comedy|Crime
112,Before and After (1996),Drama|Mystery
113,Margaret's Museum (1995),Drama
114,"Happiness Is in the Field (Bonheur est dans le pré, Le) (1995)",Comedy
115,Anne Frank Remembered (1995),Documentary
116,"Young Poisoner's Handbook, The (1995)",Crime|Drama
117,If Lucy Fell (1996),Comedy|Romance
118,"Steal Big, Steal Little (1995)",Comedy
119,Race the Sun (1996),Adventure|Comedy|Drama
120,"Boys of St. Vincent, The (1992)",Drama
121,Boomerang (1992),Comedy|Romance
122,Chungking Express (Chung Hing sam lam) (1994),Drama|Mystery|Romance
123,"Star Maker, The (Uomo delle stelle, L') (1995)",Drama
124,Flirting With Disaster (1996),Comedy
125,"NeverEnding Story III, The (1994)",Adventure|Children|Fantasy
126,"Silences of the Palace, The (Saimt el Qusur) (1994)",Drama
127,Jupiter's Wife (1994),Documentary
128,Pie in the Sky (1996),Comedy|Romance
129,Angela (1995),Drama
130,Frankie Starlight (1995),Drama|Romance
131,Jade (1995),Thriller
132,Nueba Yol (1995),Comedy|Drama
133,Sonic Outlaws (1995),Documentary
134,Down Periscope (1996),Comedy
135,From the Journals of Jean Seberg (1995),Documentary
136,Man of the Year (1995),Documentary
137,"Neon Bible, The (1995)",Drama
138,Target (1995),Action|Drama
139,Up Close and Personal (1996),Drama|Romance
140,"Birdcage, The (1996)",Comedy
141,Shadows (Cienie) (1988),Drama
142,Gospa (1995),Drama
143,"Brothers McMullen, The (1995)",Comedy
144,Bad Boys (1995),Action|Comedy|Crime|Drama|Thriller
145,"Amazing Panda Adventure, The (1995)",Adventure|Children
146,"Basketball Diaries, The (1995)",Drama
147,"Awfully Big Adventure, An (1995)",Drama
148,Amateur (1994),Crime|Drama|Thriller
149,Apollo 13 (1995),Adventure|Drama|IMAX
150,Rob Roy (1995),Action|Drama|Romance|War
151,"Addiction, The (1995)",Drama|Horror
152,Batman Forever (1995),Action|Adventure|Comedy|Crime
153,Beauty of the Day (Belle de jour) (1967),Drama
154,Beyond Rangoon (1995),Adventure|Drama|War
155,Blue in the Face (1995),Comedy|Drama
156,Canadian Bacon (1995),Comedy|War
157,Casper (1995),Adventure|Children
158,Clockers (1995),Crime|Drama|Mystery
159,Congo (1995),Action|Adventure|Mystery|Sci-Fi
160,Crimson Tide (1995),Drama|Thriller|War
161,Crumb (1994),Documentary
162,Desperado (1995),Action|Romance|Western
163,Devil in a Blue Dress (1995),Crime|Film-Noir|Mystery|Thriller
164,Die Hard: With a Vengeance (1995),Action|Crime|Thriller
165,"Doom Generation, The (1995)",Comedy|Crime|Drama
166,Feast of July (1995),Drama
167,First Knight (1995),Action|Drama|Romance
168,Free Willy 2: The Adventure Home (1995),Adventure|Children|Drama
169,Hackers (1995),Action|Adventure|Crime|Thriller
170,Jeffrey (1995),Comedy|Drama
171,Johnny Mnemonic (1995),Action|Sci-Fi|Thriller
172,Judge Dredd (1995),Action|Crime|Sci-Fi
173,Jury Duty (1995),Comedy
174,Kids (1995),Drama
175,Living in Oblivion (1995),Comedy
176,Lord of Illusions (1995),Horror
177,Love & Human Remains (1993),Comedy|Drama
178,Mad Love (1995),Drama|Romance
179,Mallrats (1995),Comedy|Romance
180,Mighty Morphin Power Rangers: The Movie (1995),Action|Children
181,Moonlight and Valentino (1995),Drama|Romance
182,Mute Witness (1994),Comedy|Horror|Thriller
183,Nadja (1994),Drama
184,"Net, The (1995)",Action|Crime|Thriller
185,Nine Months (1995),Comedy|Romance
186,Party Girl (1995),Comedy
187,"Prophecy, The (1995)",Fantasy|Horror|Mystery
188,Reckless (1995),Comedy|Fantasy
189,Safe (1995),Thriller
190,"Scarlet Letter, The (1995)",Drama|Romance
191,"Show, The (1995)",Documentary
192,Showgirls (1995),Drama
193,Smoke (1995),Comedy|Drama
194,Something to Talk About (1995),Comedy|Drama|Romance
195,Species (1995),Horror|Sci-Fi
196,"Stars Fell on Henrietta, The (1995)",Drama
197,Strange Days (1995),Action|Crime|Drama|Mystery|Sci-Fi|Thriller
198,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)",Drama|Musical|Romance
199,"Tie That Binds, The (1995)",Thriller
200,Three Wishes (1995),Drama|Fantasy
201,Total Eclipse (1995),Drama|Romance
202,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",Comedy
203,Under Siege 2: Dark Territory (1995),Action
204,Unstrung Heroes (1995),Comedy|Drama
205,Unzipped (1995),Documentary
206,"Walk in the Clouds, A (1995)",Drama|Romance
207,Waterworld (1995),Action|Adventure|Sci-Fi
208,White Man's Burden (1995),Drama
209,Wild Bill (1995),Western
210,"Browning Version, The (1994)",Drama
211,Bushwhacked (1995),Adventure|Comedy|Crime|Mystery
212,Burnt by the Sun (Utomlyonnye solntsem) (1994),Drama
213,Before the Rain (Pred dozhdot) (1994),Drama|War
214,Before Sunrise (1995),Drama|Romance
215,Billy Madison (1995),Comedy
216,"Babysitter, The (1995)",Drama|Thriller
217,Boys on the Side (1995),Comedy|Drama
218,"Cure, The (1995)",Drama
219,Castle Freak (1995),Horror
220,Circle of Friends (1995),Drama|Romance
221,Clerks (1994),Comedy
222,Don Juan DeMarco (1995),Comedy|Drama|Romance
223,Disclosure (1994),Drama|Thriller
224,Dream Man (1995),Thriller
225,Drop Zone (1994),Action|Thriller
226,Destiny Turns on the Radio (1995),Comedy
227,Death and the Maiden (1994),Drama|Thriller
228,Dolores Claiborne (1995),Drama|Thriller
229,Dumb & Dumber (Dumb and Dumber) (1994),Adventure|Comedy
230,Eat Drink Man Woman (Yin shi nan nu) (1994),Comedy|Drama|Romance
231,Exotica (1994),Drama
232,Exit to Eden (1994),Comedy
233,Ed Wood (1994),Comedy|Drama
234,French Kiss (1995),Action|Comedy|Romance
235,Forget Paris (1995),Comedy|Romance
236,Far From Home: The Adventures of Yellow Dog (1995),Adventure|Children
237,"Goofy Movie, A (1995)",Animation|Children|Comedy|Romance
238,Hideaway (1995),Thriller
239,Fluke (1995),Children|Drama
240,Farinelli: il castrato (1994),Drama|Musical
241,Gordy (1995),Children|Comedy|Fantasy
242,Gumby: The Movie (1995),Animation|Children
243,"Glass Shield, The (1994)",Crime|Drama
244,Hoop Dreams (1994),Documentary
245,Heavenly Creatures (1994),Crime|Drama
246,Houseguest (1994),Comedy
247,Immortal Beloved (1994),Drama|Romance
248,Heavyweights (Heavy Weights) (1995),Children|Comedy
249,"Hunted, The (1995)",Action
250,I.Q. (1994),Comedy|Romance
251,Interview with the Vampire: The Vampire Chronicles (1994),Drama|Horror
252,Jefferson in Paris (1995),Drama
253,"Jerky Boys, The (1995)",Comedy
254,Junior (1994),Comedy|Sci-Fi
255,Just Cause (1995),Mystery|Thriller
256,"Kid in King Arthur's Court, A (1995)",Adventure|Children|Comedy|Fantasy|Romance
257,Kiss of Death (1995),Crime|Drama|Thriller
258,Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Sci-Fi
259,Little Women (1994),Drama
260,"Little Princess, A (1995)",Children|Drama
261,Ladybird Ladybird (1994),Drama
262,"Enfer, L' (1994)",Drama
263,Like Water for Chocolate (Como agua para chocolate) (1992),Drama|Fantasy|Romance
264,Legends of the Fall (1994),Drama|Romance|War|Western
265,Major Payne (1995),Comedy
266,Little Odessa (1994),Crime|Drama
267,My Crazy Life (Mi vida loca) (1993),Drama
268,Love Affair (1994),Drama|Romance
269,Losing Isaiah (1995),Drama
270,"Madness of King George, The (1994)",Comedy|Drama
271,Mary Shelley's Frankenstein (Frankenstein) (1994),Drama|Horror|Sci-Fi
272,Man of the House (1995),Comedy
273,Mixed Nuts (1994),Comedy
274,Milk Money (1994),Comedy|Romance
275,Miracle on 34th Street (1994),Drama
276,Miami Rhapsody (1995),Comedy
277,My Family (1995),Drama
278,Murder in the First (1995),Drama|Thriller
279,Nobody's Fool (1994),Comedy|Drama|Romance
280,Nell (1994),Drama
281,New Jersey Drive (1995),Crime|Drama
282,New York Cop (Nyû Yôku no koppu) (1993),Action|Crime
283,Beyond Bedlam (1993),Drama|Horror
284,Nemesis 2: Nebula (1995),Action|Sci-Fi|Thriller
285,Nina Takes a Lover (1994),Comedy|Romance
286,Natural Born Killers (1994),Action|Crime|Thriller
287,Only You (1994),Comedy|Romance
288,Once Were Warriors (1994),Crime|Drama
