UserID,tag
1,Mark Waters
2,dark hero
3,dark hero
4,noir thriller
5,dark hero
6,bollywood
7,screwball comedy
8,noir thriller
9,mars
10,neo-noir
11,jesus
12,noir thriller
13,jesus
14,dragon
15,conspiracy theory
16,mars
17,noir thriller
18,jesus
19,jesus
20,bollywood
21,treasure
22,dark hero
23,noir thriller
24,jesus
25,stranded
26,conspiracy theory
27,Oscar (Best Foreign Language Film)
28,New Zealand
29,surreal
30,unusual
31,bollywood
32,cute
33,emotional
34,girls who play boys
35,Stephen Chow
36,animation
37,beautiful
38,characters
39,Disney
40,feminist
41,Ice
42,music
43,musical
44,pacing
45,royalty
46,siblings
47,storyline
48,themes
49,unnecessary villain
50,voice acting
51,writing
52,dark comedy
53,drugs
54,Nudity (Full Frontal - Notable)
55,Nudity (Full Frontal)
56,Christopher Guest
57,comedy
58,music business
59,rock and roll
60,satire
61,witty
62,Nudity (Topless - Notable)
63,Nudity (Topless)
64,sexuality
65,teen comedy
66,Nudity (Topless)
67,sexuality
68,College Humor
69,Nudity (Topless)
70,R
71,Ryan Reynolds
72,Teen movie
73,college
74,Nudity (Topless)
75,Seann William Scott
76,Vince Vaughn
77,Will Ferrell
78,Funniest Movies
79,hilarious
80,One of the worst movies of all time
81,seen more than once
82,Steve Carell
83,Vince Vaughn
84,Will Ferrell
85,comedy
86,crude humor
87,Nudity (Topless - Notable)
88,Nudity (Topless)
89,Seth Rogen
90,sex
91,sex comedy
92,Steve Carell
93,arms dealer
94,dark comedy
95,drugs
96,Nicolas Cage
97,Nudity (Topless)
98,Below R
99,Tarantino
100,Will Ferrell
101,drugs
102,Nudity (Topless - Brief)
103,Nudity (Topless)
104,crude humor
105,Highly quotable
106,pornography
107,Teen movie
108,virginity
109,Adam Sandler
110,Below R
111,exaggerated
112,Israeli/Palestinian conflict
113,over the top
114,comedy
115,Seth Rogen
116,will ferrell
117,1960s
118,Bill Nighy
119,meandering
120,Philip Seymour Hoffman
121,pirate radio
122,rock and roll
123,soundtrack
124,mental illness
125,Zach Galifianakis
126,Adam Sandler
127,golf
128,sports
129,Arnold Schwarzenegger
130,christmas movie
131,Xmas theme(?)
132,Adam Sandler
133,American football
134,football
135,sport:American football
136,high school
137,Nudity (Topless - Notable)
138,Nudity (Topless)
139,sexuality
140,teen comedy
141,Teen movie
142,virginity
143,great ending
144,high school
145,lyrical
146,melancholy
147,psychology
148,reflective
149,suburbia
150,suicide
151,visually appealing
152,David Spade
153,fuck you it's funny
154,movie to see
155,stupid :)
156,alternate timeline
157,cult classic
158,cult film
159,high school
160,mental illness
161,music
162,psychology
163,sci-fi
164,surreal
165,thought-provoking
166,time travel
167,Adam Sandler
168,Al Sharpton
169,Winona Ryder
170,Ben Stiller
171,comedy
172,funny
173,Funny as hell
174,Idiotic
175,seen more than once
176,sports
177,Vince Vaughn
178,wasted potential
179,Ben Stiller
180,Judd Apatow movie
181,Paul Rudd
182,Seth Rogen
183,Steve Carell
184,Steve Carrell
185,avante garde
186,bittersweet
187,deadpan
188,FATHERS AND SONS
189,independent film
190,Indie
191,irreverent
192,SEXUAL AWAKENING
193,unique
194,weird
195,coming of age
196,friendship
197,tattoo
198,teenager
199,delusion
200,delusional
201,dork people
202,emotional
203,family affair
204,mental illness
205,real doll
206,small town
207,brother-brother relationship
208,ending
209,Highly quotable
210,let down
211,movie to see
212,Seth Rogen
213,will ferrell
214,Ben Stiller
215,Hollywood
216,irreverent
217,Jack Black
218,Robert Downey Jr.
219,satire
220,Tom Cruise
221,Vietnam War
222,handcam-real style
223,funny
224,parody
225,vampires
226,action
227,Criminal = good Police = bad
228,one dimensional characters except for Affleck. Ending trite.
229,too much love interest
230,Emma Stone
231,funny dialogues
232,plot
233,sexuality
234,typical
235,Unreal reactions
236,plot twist
237,documentary
238,makes you think
239,Not what was expected but still good
240,social networking
241,drug use
242,road trip
243,Robert Downey Jr.
244,Zach Galifianakis
245,boring
246,camping trip
247,emma watson
248,beautifully filmed
249,quirky
250,romance
251,stylized
252,visually appealing
253,whimsical
254,culture clash
255,heartbreaking
256,intense
257,sad but good
258,Steven Spielberg
259,time travel
260,sci-fi
261,time travel
262,time travel
263,manhattan
264,upper class
265,whit stillman meets Diner
266,actress too old
267,too upper class
268,wild and fresh
269,whit stillman meets diner
270,utterly predictable ensemble flick
271,Simon Pegg
272,Audrey Hepburn
273,black and white
274,classic
275,Gregory Peck
276,imdb top 250
277,Italy
278,love story
279,National Film Registry
280,need to own
281,romantic comedy
282,Rome
283,royalty
284,slapstick
285,zest for life
286,based on a book
287,British
288,Hugh Grant
289,Jane Austen
290,romantic comedy
291,chick flick
292,sentimental
293,Freddie Highmore
294,inspirational
295,love of music
296,power of music
297,uplifting and compelling
298,Firefly
299,scifi
300,western
301,Ethan Hunt Should Stop Hogging The Screen!
302,1970s
303,fantasy
304,sci-fi
305,Action
306,Revenge
307,Willem Dafoe
308,must show
309,must show
310,must show
311,must show
312,must show
313,twist
314,twist
315,overrated
316,violent
317,violent
318,post-apocalyptic
319,psychology
320,time travel
321,organized crime
322,twist ending
323,twists & turns
324,friendship
325,masterplan
326,Morgan Freeman
327,prison escape
328,redemption
329,revenge
330,bittersweet
331,classic
332,vietnam war
333,crime gone awry
334,black comedy
335,British
336,cold war
337,comedy
338,Peter Sellers
339,satire
340,satirical
341,Stanley Kubrick
342,British
343,John Cleese
344,quirky
345,Monty Python
346,parody
347,satire
348,atmospheric
349,post-apocalyptic
350,surreal
351,psychological
352,psychology
353,Clint Eastwood
354,Ennio Morricone
355,Italian
356,music
357,Sergio Leone
358,mystery
359,twists & turns
360,Michael Douglas
361,Mystery
362,plot twist
363,psychological
364,Sean Penn
365,twist ending
366,unrealistic
367,eugenics
368,future
369,genetic engineering
370,genetics
371,powerful ending
372,racism
373,funny
374,Jack Nicholson
375,obsessive compulsive disorder
376,psychology
377,quirky
378,relationships
379,Edward Norton
380,Neo-Nazis
381,politics
382,powerful ending
383,racism
384,tense
385,thought-provoking
386,post-apocalyptic
387,sci-fi
388,virtual reality
389,adventure
390,anime
391,fantasy world
392,surreal
393,coming of age
394,coming-of-age
395,cycling
396,classic
397,coming of age
398,friendship
399,BORING!
400,Nudity (Full Frontal)
401,pretentious
402,slow paced
403,characters
404,romance
405,adventure
406,characters
407,epic
408,fantasy world
409,fighting
410,photography
411,ending
412,lawyers
413,military court
414,multiple storylines
415,nonlinear
416,disturbing
417,drama
418,multiple storylines
419,realistic
420,action packed
421,dystopia
422,unrealistic characters
423,cliche
424,Johnny Depp
425,magic realism
